parmseq,Outcome,idnum,parm,label,estimate,stderr,dof,t,p,min95,max95,uncp,corp,signif,myqvallargervolumes,selected,selected_final,,mlog10p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zadamts15 ,21,poororalhealth_sev,,0.15,0.04427183,4963,3.4298027,6.10E-04,0.07,0.24,0.05,0.00003418,0,0.02172881,0,0,,3.214670165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zhspg2 ,664,poororalhealth_sev,,0.15,0.04418561,4949,3.3342927,8.60E-04,0.06,0.23,0.05,0.00003418,0,0.03000736,0,0,,3.065501549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zcd5 ,233,poororalhealth_sev,,0.15,0.04534843,5016,3.3087706,9.40E-04,0.06,0.24,0.05,0.00003418,0,0.03210686,0,0,,3.026872146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zgfra1 ,589,poororalhealth_sev,,0.14,0.04369606,5016,3.2637992,1.10E-03,0.06,0.23,0.05,0.00003418,0,0.03679641,0,0,,2.958607315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zcdcp1 ,251,poororalhealth_sev,,0.13,0.04112733,4957,3.2524773,1.20E-03,0.05,0.21,0.05,0.00003418,0,0.03744299,0,0,,2.920818754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zbtn2a1 ,136,poororalhealth_sev,,0.15,0.04523112,4993,3.2398413,1.20E-03,0.06,0.24,0.05,0.00003418,0,0.03828606,0,0,,2.920818754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zcd27 ,215,poororalhealth_sev,,0.15,0.04585816,5004,3.2281726,1.30E-03,0.06,0.24,0.05,0.00003418,0,0.03903021,0,0,,2.886056648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zadm ,31,poororalhealth_sev,,0.13,0.04141012,5019,3.2126199,1.30E-03,0.05,0.21,0.05,0.00003418,0,0.04034262,0,0,,2.886056648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zceacam5 ,270,poororalhealth_sev,,0.15,0.04639919,4818,3.204067,1.40E-03,0.06,0.24,0.05,0.00003418,0,0.0407204,0,0,,2.853871964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, znectin2 ,956,poororalhealth_sev,,0.15,0.04555932,4996,3.1912188,1.40E-03,0.06,0.23,0.05,0.00003418,0,0.0408743,0,0,,2.853871964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zmmp12 ,915,poororalhealth_sev,,0.14,0.04353289,4992,3.1907596,1.40E-03,0.05,0.22,0.05,0.00003418,0,0.0408743,0,0,,2.853871964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zcd79b ,242,poororalhealth_sev,,0.15,0.04604956,5036,3.1857092,1.50E-03,0.06,0.24,0.05,0.00003418,0,0.0408743,0,0,,2.823908741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zsiglec10 ,1235,poororalhealth_sev,,0.15,0.04615407,4976,3.177337,1.50E-03,0.06,0.24,0.05,0.00003418,0,0.04127969,0,0,,2.823908741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, ztff1 ,1333,poororalhealth_sev,,0.14,0.04516759,4954,3.158999,1.60E-03,0.05,0.23,0.05,0.00003418,0,0.04314886,0,0,,2.795880017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zphospho1 ,1048,poororalhealth_sev,,0.14,0.0443181,4957,3.1325707,1.70E-03,0.05,0.23,0.05,0.00003418,0,0.04636188,0,0,,2.769551079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zezr ,500,poororalhealth_sev,,0.14,0.04437542,5039,3.11344,1.90E-03,0.05,0.23,0.05,0.00003418,0,0.04858121,0,0,,2.721246399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zlair1 ,809,poororalhealth_sev,,0.14,0.0447671,4970,3.0972555,2.00E-03,0.05,0.23,0.05,0.00003418,0,0.05041206,0,0,,2.698970004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zogn ,1005,poororalhealth_sev,,0.13,0.04338798,4978,3.0905472,2.00E-03,0.05,0.22,0.05,0.00003418,0,0.05067315,0,0,,2.698970004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zkrt5 ,803,poororalhealth_sev,,0.13,0.04455179,4883,3.0270723,2.50E-03,0.05,0.22,0.05,0.00003418,0,0.06155099,0,0,,2.602059991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zgal ,573,poororalhealth_sev,,-0.14,0.04521618,4993,-3.0096834,2.60E-03,-0.22,-0.05,0.05,0.00003418,0,0.06408594,0,0,,2.585026652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zfut3_fut5 ,568,poororalhealth_sev,,0.13,0.0443705,5039,3.0040727,2.70E-03,0.05,0.22,0.05,0.00003418,0,0.0642045,0,0,,2.568636236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, ztgfbr2 ,1342,poororalhealth_sev,,0.13,0.04393179,5004,2.9939138,2.80E-03,0.05,0.22,0.05,0.00003418,0,0.06530897,0,0,,2.552841969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zthbs2 ,1346,poororalhealth_sev,,0.14,0.04563527,4978,2.9883307,2.80E-03,0.05,0.23,0.05,0.00003418,0,0.06545775,0,0,,2.552841969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zcd99l2 ,248,poororalhealth_sev,,0.13,0.04461511,4978,2.9811394,2.90E-03,0.05,0.22,0.05,0.00003418,0,0.06596484,0,0,,2.537602002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zntrk3 ,995,poororalhealth_sev,,-0.13,0.04461413,5039,-2.9745664,2.90E-03,-0.22,-0.05,0.05,0.00003418,0,0.06635146,0,0,,2.537602002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zadgrg1 ,28,poororalhealth_sev,,0.13,0.04524175,4963,2.9552652,3.10E-03,0.05,0.22,0.05,0.00003418,0,0.0695744,0,0,,2.508638306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zulbp2 ,1417,poororalhealth_sev,,0.14,0.04623905,4957,2.9260436,3.40E-03,0.04,0.23,0.05,0.00003418,0,0.0753034,0,0,,2.468521083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zil10rb ,698,poororalhealth_sev,,0.13,0.04480698,4993,2.9211213,3.50E-03,0.04,0.22,0.05,0.00003418,0,0.07537391,0,0,,2.455931956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zepha2 ,486,poororalhealth_sev,,0.13,0.04587775,4737,2.9163703,3.60E-03,0.04,0.22,0.05,0.00003418,0,0.07543836,0,0,,2.443697499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zfstl3 ,564,poororalhealth_sev,,0.12,0.04321655,4962,2.8907528,3.90E-03,0.04,0.21,0.05,0.00003418,0,0.0806716,0,0,,2.408935393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zcant1 ,160,poororalhealth_sev,,0.13,0.04562473,4958,2.8836135,3.90E-03,0.04,0.22,0.05,0.00003418,0,0.08135794,0,0,,2.408935393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zspink1 ,1278,poororalhealth_sev,,0.13,0.04571962,4978,2.8686017,4.10E-03,0.04,0.22,0.05,0.00003418,0,0.08412764,0,0,,2.387216143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zncr1 ,952,poororalhealth_sev,,0.13,0.04637367,4960,2.8497255,4.40E-03,0.04,0.22,0.05,0.00003418,0,0.08805532,0,0,,2.356547324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zklk13 ,793,poororalhealth_sev,,0.13,0.04555209,4893,2.8420779,4.50E-03,0.04,0.22,0.05,0.00003418,0,0.08897817,0,0,,2.346787486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zcst3 ,369,poororalhealth_sev,,0.12,0.04160931,4990,2.830792,4.70E-03,0.04,0.2,0.05,0.00003418,0,0.09093746,0,0,,2.327902142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zareg ,83,poororalhealth_sev,,0.13,0.04647402,4963,2.8103764,5.00E-03,0.04,0.22,0.05,0.00003418,0,0.09495963,0,0,,2.301029996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zdefb4a_defb4b ,421,poororalhealth_sev,,0.12,0.0433531,4905,2.8084418,5.00E-03,0.04,0.21,0.05,0.00003418,0,0.09495963,0,0,,2.301029996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zcd74 ,241,poororalhealth_sev,,0.12,0.04425983,5039,2.8036552,5.10E-03,0.04,0.21,0.05,0.00003418,0,0.0951329,0,0,,2.292429824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zly9 ,862,poororalhealth_sev,,0.13,0.04651998,4946,2.7893098,5.30E-03,0.04,0.22,0.05,0.00003418,0,0.09819252,0,0,,2.27572413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zcalb2 ,156,poororalhealth_sev,,0.13,0.04562422,4883,2.7582688,5.80E-03,0.04,0.22,0.05,0.00003418,0,0.10615183,0,0,,2.236572006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, ztreml2 ,1402,poororalhealth_sev,,0.13,0.04631808,4978,2.7557453,5.90E-03,0.04,0.22,0.05,0.00003418,0,0.10615183,0,0,,2.229147988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zids ,676,poororalhealth_sev,,-0.13,0.04623873,5036,-2.7324742,6.30E-03,-0.22,-0.04,0.05,0.00003418,0,0.1125438,0,0,,2.200659451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zcsf1 ,366,poororalhealth_sev,,0.12,0.045829,4993,2.7204893,6.50E-03,0.03,0.21,0.05,0.00003418,0,0.11529704,0,0,,2.187086643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zcntn2 ,325,poororalhealth_sev,,-0.12,0.04574823,5019,-2.7161091,6.60E-03,-0.21,-0.03,0.05,0.00003418,0,0.11543846,0,0,,2.180456064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zcd63 ,238,poororalhealth_sev,,0.13,0.04629594,4950,2.7047975,6.90E-03,0.03,0.22,0.05,0.00003418,0,0.11803815,0,0,,2.161150909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, ztimd4 ,1354,poororalhealth_sev,,0.12,0.04578945,4995,2.698105,7.00E-03,0.03,0.21,0.05,0.00003418,0,0.11903011,0,0,,2.15490196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zcrtam ,364,poororalhealth_sev,,0.13,0.04656315,4957,2.6864465,7.20E-03,0.03,0.22,0.05,0.00003418,0,0.12091147,0,0,,2.142667504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, ztimp4 ,1357,poororalhealth_sev,,0.12,0.04415459,4978,2.6829129,7.30E-03,0.03,0.21,0.05,0.00003418,0,0.12091147,0,0,,2.13667714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, znefl ,958,poororalhealth_sev,,0.11,0.0415567,4871,2.681431,7.40E-03,0.03,0.19,0.05,0.00003418,0,0.12091147,0,0,,2.13076828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zfabp4 ,508,poororalhealth_sev,,0.1,0.03893931,5052,2.6658011,7.70E-03,0.03,0.18,0.05,0.00003418,0,0.12520708,0,0,,2.113509275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zadamts8 ,23,poororalhealth_sev,,-0.12,0.04615838,5004,-2.6595123,7.90E-03,-0.21,-0.03,0.05,0.00003418,0,0.12520708,0,0,,2.102372909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zsorcs2 ,1272,poororalhealth_sev,,0.12,0.04470132,4886,2.65854,7.90E-03,0.03,0.21,0.05,0.00003418,0,0.12520708,0,0,,2.102372909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zanxa10 ,69,poororalhealth_sev,,0.12,0.04670386,4883,2.6486357,8.10E-03,0.03,0.22,0.05,0.00003418,0,0.12611013,0,0,,2.091514981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zil18bp ,715,poororalhealth_sev,,0.12,0.04464146,4995,2.6482103,8.10E-03,0.03,0.21,0.05,0.00003418,0,0.12611013,0,0,,2.091514981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, znppc ,979,poororalhealth_sev,,0.1,0.03941618,4976,2.6452396,8.20E-03,0.03,0.18,0.05,0.00003418,0,0.12611013,0,0,,2.086186148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zdsc2 ,448,poororalhealth_sev,,0.12,0.04580302,4910,2.6377742,8.40E-03,0.03,0.21,0.05,0.00003418,0,0.12757862,0,0,,2.075720714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zcd93 ,246,poororalhealth_sev,,0.12,0.04697374,4792,2.6288172,8.60E-03,0.03,0.22,0.05,0.00003418,0,0.1296428,0,0,,2.065501549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zcstb ,373,poororalhealth_sev,,0.12,0.04516525,4939,2.6178634,8.90E-03,0.03,0.21,0.05,0.00003418,0,0.1324944,0,0,,2.050609993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zsirpb1 ,1242,poororalhealth_sev,,0.12,0.04591026,4963,2.6025355,9.30E-03,0.03,0.21,0.05,0.00003418,0,0.13715611,0,0,,2.031517051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zwfdc12 ,1449,poororalhealth_sev,,0.11,0.04222227,5012,2.5625576,1.00E-02,0.03,0.19,0.05,0.00003418,0,0.15243571,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, zbtn3a2 ,137,poororalhealth_sev,,0.12,0.04616641,4976,2.5579581,1.10E-02,0.03,0.21,0.05,0.00003418,0,0.15293773,0,0,,1.958607315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
